strategy,data_file,coin,timeframe,candles,period,initial_cash,final_equity,cum_return,ann_return,ann_vol,sharpe,calmar,mdd,win_rate,profit_factor,avg_win,avg_loss,total_roundtrips,total_trades,buys,sells,total_fees
bollinger_squeeze,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11066.212568902029,0.10662125689020296,0.018446684670797544,0.0515161670699559,0.35807564342646003,0.2541048382137621,-0.07259477938403291,0.4666666666666667,1.4325946577763922,252.2074653498017,-154.04324662470003,30,60,30,30,195.57659956183102
enhanced_trend,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,11839.97553419089,0.18399755341908897,0.03241816596994667,0.08786251352283739,0.3689647003002198,0.24248451506220603,-0.1336916955764691,0.3448275862068966,1.5138105038193224,542.1014692623307,-188.4757451806538,29,58,29,29,203.39376769624243
enhanced_breakout,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,15126.064639492504,0.5126064639492505,0.07492448234495465,0.09355231731528607,0.8008832329791087,0.5015670153134806,-0.149380800684481,0.4810126582278481,1.590200042280874,363.456973661867,-211.83659413801078,79,158,79,79,517.4933531062713
ensemble,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,29135.10495652805,1.9135104956528046,0.1878911047769591,0.09866149749693287,1.9044015096253302,2.031856818931144,-0.09247261077863111,0.4642857142857143,3.228849321033775,533.0826820656282,-143.08657518141018,112,224,112,112,754.2747652019839
supertrend,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,18952.799089559332,0.8952799089559331,0.11612849695687506,0.10865591209519722,1.068772924698861,0.7754934917874452,-0.1497478678878832,0.4084507042253521,2.037192378503702,606.3642197229332,-205.51817339061276,71,142,71,71,475.0472918037138
adaptive_regime,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,23007.92921378348,1.3007929213783478,0.15188784779499012,0.13144169573597775,1.1555530149194535,0.8925171974606239,-0.17017918335494997,0.44214876033057854,1.555484834313085,340.4222689128442,-173.46113748067302,242,484,242,242,1739.1980239328532
macd_volume,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,15764.620065902476,0.5764620065902477,0.0822126076259082,0.0878057680786895,0.9363007627391271,0.4917399322960173,-0.16718716993666105,0.45161290322580644,1.737080079884811,242.5983417022903,-115.01304513861473,124,248,124,124,823.3130553070039
multi_factor,data/ohlcv_full_BTCKRW_4h.parquet,BTCKRW,4h,12858,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,22971.87868510001,1.297689995784428,0.15309187654461015,0.14168043208198822,1.0805435464435749,0.7986355358581682,-0.19169179139932424,0.31785714285714284,1.524330204582145,423.72789018314825,-129.52829079162396,280,560,280,280,1857.8009158217676
ma_cross,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,26368.446948995846,1.6376403762431107,0.1752003835009665,0.13101296993857736,1.337275107813892,0.8182150134556534,-0.21412511457129846,0.423728813559322,2.5640769151749145,1073.3476481108198,-307.8013015816072,59,118,59,59,391.04896994913383
trend_following,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,16842.263439449824,0.6842263439449823,0.09597763970754751,0.11532697638264143,0.8322219372878787,0.7523119042428319,-0.12757692542881183,0.28,3.0903632072812557,1445.0721232249998,-181.84674572917677,25,50,25,25,217.4840733659626
dual_momentum,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,12734.485821422653,0.2734485821422654,0.04790725692674291,0.10043868756468424,0.47698011680422275,0.3231344152737845,-0.1482579838666489,0.4666666666666667,2.2286276026018044,708.5897616449125,-278.20531376146585,15,30,15,15,108.71283290458764
atr_breakout,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,19863.47736900043,0.9863477369000428,0.12450341951047411,0.11436761301991676,1.0886247970192715,1.0359715992199579,-0.12018034046800496,0.5416666666666666,1.9571540534889886,775.7108628385807,-468.409321127394,48,96,48,48,328.73863031246356
bollinger_squeeze,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.0
enhanced_trend,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,19626.747581942713,0.9626747581942712,0.12241944318829934,0.11422538151347866,1.07173590987553,0.6663248325572227,-0.18372336915286713,0.5,3.5979059004120035,1904.6181949500003,-529.3685403867563,14,28,14,14,117.11847376906854
enhanced_breakout,data/ohlcv_full_BTCKRW_1d.parquet,BTCKRW,1d,2144,2020-01-01 09:00:00+09:00 ~ 2025-11-13 09:00:00+09:00,10000,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0.0
